Date,Open,High,Low,Close,Volume,Market Cap
5/3/2018,14.44,14.78,14.21,14.65,104726000,1671001407
5/2/2018,14.17,14.41,13.94,14.41,80730304,1643243757
5/1/2018,14.31,14.31,13.61,14.16,75433904,1615315046
4/30/2018,15.06,15.16,14.11,14.31,83765800,1632170348
4/29/2018,15.16,15.4,14.56,15.06,105495000,1717028472
4/28/2018,14.28,15.33,14.23,15.2,122360000,1733439014
4/27/2018,14.65,14.77,14.18,14.33,101995000,1634109050
4/26/2018,13.35,14.71,13.25,14.65,127788000,1671115449
4/25/2018,15.21,15.93,13.05,13.29,144820992,1515711383
4/24/2018,13.65,15.62,13.65,15.27,165599008,1740954335
4/23/2018,12.88,13.83,12.85,13.63,132041000,1553846790
4/22/2018,13.35,13.35,12.86,12.88,84873000,1468384247
4/21/2018,12.57,13.67,12.44,13.38,141582000,1525689996
4/20/2018,12.35,12.72,11.93,12.58,86036096,1434092031
4/19/2018,12.26,12.43,12.04,12.35,78661696,1408706440
4/18/2018,11.79,12.39,11.53,12.28,90015104,1399936665
4/17/2018,12.23,12.46,11.67,11.77,77537400,1342197560
4/16/2018,13.05,13.06,12.08,12.21,75965504,1392444152
4/15/2018,13.3,13.58,12.92,13.06,115373000,1489242399
4/14/2018,13.45,13.84,12.99,13.24,94980800,1539815189
4/13/2018,13.15,13.76,12.75,13.54,148215008,1573810083
4/12/2018,12.42,12.95,11.91,12.95,133239000,1505878427
4/11/2018,12.04,12.23,11.78,12.23,92759696,1421984054
4/10/2018,11.91,12.4,11.85,12.04,87608200,1399347919
4/9/2018,12.12,12.55,11.61,11.87,80643696,1379827596
4/8/2018,12.51,12.51,12.12,12.12,79045000,1408811614
4/7/2018,12.27,12.63,12.27,12.46,87924896,1448119662
4/6/2018,12.49,12.64,12.04,12.26,81989696,1425181248
4/5/2018,12.2,12.62,12.14,12.45,103864000,1447875513
4/4/2018,13.29,13.44,12,12.19,119600000,1417275459
4/3/2018,12.64,13.95,12.33,13.36,141287008,1553336414
4/2/2018,11.07,12.65,11.02,12.62,116071000,1467302827
4/1/2018,11.15,11.3,10.38,11.07,87918096,1286574163
3/31/2018,10.39,11.39,10.29,11.06,89256304,1094688883
3/30/2018,10.17,10.75,9.74,10.35,75551600,1024834506
3/29/2018,11.7,11.73,10.17,10.2,81352096,1009556645
3/28/2018,11.52,12.25,11.39,11.64,92931200,1152562566
3/27/2018,12.12,12.23,10.88,11.51,102579000,1139482816
3/26/2018,12.91,12.91,10.96,12.06,132353000,1194247460
3/25/2018,13.14,14.23,12.57,12.78,189518000,1265705863
3/24/2018,11.71,14.84,11.6,13.09,255358000,1296004147
3/23/2018,10.05,11.98,9.54,11.74,157246000,1162186726
3/22/2018,10.03,10.91,9.57,10.07,112305000,996704628
3/21/2018,9.17,10.29,9.08,9.98,131761000,988357748
3/20/2018,8.99,9.24,8.66,9.16,96919504,907060323
3/19/2018,9.09,9.26,8.5,8.99,97938896,890407158
3/18/2018,8.96,8.96,7.86,8.95,94840304,886358476
3/17/2018,9.2,9.5,8.66,8.99,94679904,889912088
3/16/2018,9.13,9.39,8.64,9.11,97626000,902148238
3/15/2018,8.94,9.4,8.42,9.1,104531000,900936307
3/14/2018,10.13,10.67,8.55,8.96,124112000,887087219
3/13/2018,8,11,7.9,10.12,216111008,1001546413
3/12/2018,8.3,8.55,7.74,8.04,51188100,796000280
3/11/2018,7.65,8.42,7.38,8.27,45451700,819081433
3/10/2018,8.27,8.35,7.63,7.67,41645000,759601743
3/9/2018,8.26,8.33,7.17,8.31,46893300,823110313
3/8/2018,9.04,9.14,8.12,8.31,48535100,822849906
3/7/2018,9.4,10.13,8.24,9.03,79740800,894579608
3/6/2018,10.15,10.15,9.15,9.38,38182600,929185001
3/5/2018,10.4,10.44,10.1,10.11,38605100,1001081047
